Evaluate score: [1.619351680462177, 0.7740384340286255]
y_sample, y_class, y_eventType, groundTruth_sample, groundTruth_class, groundTruth_eventType
5558, 18, ON, 5591, 0, ON
6403, 0, OFF, 6623, 0, OFF
5680, 0, ON, 5580, 0, ON
6451, 0, OFF, 6584, 0, OFF
5659, 18, ON, 5551, 0, ON
6394, 0, OFF, 6611, 0, OFF
5737, 0, ON, 5603, 0, ON
6444, 0, OFF, 7094, 0, OFF
5365, 1, ON, 5374, 1, ON
6382, 8, OFF, 6290, 1, OFF
5286, 18, ON, 5562, 1, ON
6435, 1, OFF, 6409, 1, OFF
5160, 1, ON, 5564, 1, ON
6554, 1, OFF, 6944, 1, OFF
4988, 18, ON, 5616, 1, ON
6412, 8, OFF, 6597, 1, OFF
5367, 10, ON, 5383, 10, ON
6239, 10, OFF, 6320, 10, OFF
5096, 10, ON, 5463, 10, ON
6425, 10, OFF, 6430, 10, OFF
5351, 10, ON, 5627, 10, ON
6527, 10, OFF, 6569, 10, OFF
5444, 10, ON, 5514, 10, ON
6422, 11, OFF, 7009, 10, OFF
5311, 11, ON, 5488, 11, ON
6606, 11, OFF, 6529, 11, OFF
5189, 11, ON, 5483, 11, ON
6538, 11, OFF, 6461, 11, OFF
5371, 11, ON, 5508, 11, ON
6634, 11, OFF, 6512, 11, OFF
5436, 11, ON, 5456, 11, ON
6362, 11, OFF, 6451, 11, OFF
5668, 13, ON, 5538, 12, ON
6666, 0, OFF, 6556, 12, OFF
6486, 0, ON, 5513, 12, ON
6487, 7, OFF, 6481, 12, OFF
5472, 22, ON, 5529, 12, ON
6507, 18, OFF, 6514, 12, OFF
5011, 18, ON, 5569, 12, ON
6632, 11, OFF, 6734, 12, OFF
5903, 13, ON, 5512, 13, ON
6441, 13, OFF, 6442, 13, OFF
2811, 18, ON, 5630, 13, ON
6422, 13, OFF, 6570, 13, OFF
5013, 13, ON, 5399, 13, ON
6466, 13, OFF, 6858, 13, OFF
5399, 13, ON, 5535, 13, ON
6436, 13, OFF, 6939, 13, OFF
5731, 14, ON, 5539, 14, ON
6308, 14, OFF, 6516, 14, OFF
5908, 14, ON, 5572, 14, ON
6314, 14, OFF, 6379, 14, OFF
5205, 14, ON, 5412, 14, ON
6329, 14, OFF, 6615, 14, OFF
5861, 14, ON, 5534, 14, ON
6458, 14, OFF, 6595, 14, OFF
3594, 18, ON, 5602, 15, ON
6412, 15, OFF, 6583, 15, OFF
5174, 15, ON, 5444, 15, ON
6371, 13, OFF, 6511, 15, OFF
5457, 15, ON, 5551, 15, ON
6450, 15, OFF, 6573, 15, OFF
