Evaluate score: [0.47339978355627793, 0.7932692170143127]
y_sample, y_class, y_eventType, groundTruth_sample, groundTruth_class, groundTruth_eventType
5396, 18, ON, 5591, 0, ON
6338, 0, OFF, 6623, 0, OFF
5384, 18, ON, 5580, 0, ON
6349, 0, OFF, 6584, 0, OFF
5342, 18, ON, 5551, 0, ON
6282, 0, OFF, 6611, 0, OFF
5325, 18, ON, 5603, 0, ON
6349, 0, OFF, 7094, 0, OFF
5205, 1, ON, 5374, 1, ON
5996, 1, OFF, 6290, 1, OFF
5108, 1, ON, 5562, 1, ON
6058, 1, OFF, 6409, 1, OFF
5213, 1, ON, 5564, 1, ON
6230, 1, OFF, 6944, 1, OFF
5198, 1, ON, 5616, 1, ON
6168, 1, OFF, 6597, 1, OFF
5303, 10, ON, 5383, 10, ON
6054, 10, OFF, 6320, 10, OFF
5446, 10, ON, 5463, 10, ON
6195, 10, OFF, 6430, 10, OFF
5424, 10, ON, 5627, 10, ON
6245, 10, OFF, 6569, 10, OFF
5308, 10, ON, 5514, 10, ON
6162, 10, OFF, 7009, 10, OFF
5408, 0, ON, 5488, 11, ON
6340, 11, OFF, 6529, 11, OFF
5224, 0, ON, 5483, 11, ON
6271, 11, OFF, 6461, 11, OFF
5269, 0, ON, 5508, 11, ON
6312, 11, OFF, 6512, 11, OFF
5293, 0, ON, 5456, 11, ON
6334, 11, OFF, 6451, 11, OFF
4993, 12, ON, 5538, 12, ON
5906, 12, OFF, 6556, 12, OFF
5135, 12, ON, 5513, 12, ON
5931, 12, OFF, 6481, 12, OFF
5481, 12, ON, 5529, 12, ON
5970, 12, OFF, 6514, 12, OFF
5891, 18, ON, 5569, 12, ON
6141, 12, OFF, 6734, 12, OFF
5091, 13, ON, 5512, 13, ON
6251, 13, OFF, 6442, 13, OFF
5345, 18, ON, 5630, 13, ON
6282, 13, OFF, 6570, 13, OFF
5273, 13, ON, 5399, 13, ON
6304, 13, OFF, 6858, 13, OFF
5399, 13, ON, 5535, 13, ON
6189, 13, OFF, 6939, 13, OFF
5412, 14, ON, 5539, 14, ON
6105, 14, OFF, 6516, 14, OFF
5381, 14, ON, 5572, 14, ON
6060, 14, OFF, 6379, 14, OFF
5416, 14, ON, 5412, 14, ON
6164, 14, OFF, 6615, 14, OFF
5102, 14, ON, 5534, 14, ON
6079, 14, OFF, 6595, 14, OFF
4732, 22, ON, 5602, 15, ON
6161, 15, OFF, 6583, 15, OFF
5566, 15, ON, 5444, 15, ON
6188, 15, OFF, 6511, 15, OFF
5583, 15, ON, 5551, 15, ON
6200, 15, OFF, 6573, 15, OFF
4912, 15, ON, 5457, 15, ON
6064, 15, OFF, 6942, 15, OFF
5076, 16, ON, 5384, 16, ON
6290, 16, OFF, 6429, 16, OFF
5206, 16, ON, 5388, 16, ON
6346, 16, OFF, 6369, 16, OFF
5810, 17, ON, 5552, 16, ON
6600, 16, OFF, 6645, 16, OFF
5304, 16, ON, 5591, 16, ON
6428, 16, OFF, 6708, 16, OFF
4819, 17, ON, 5367, 17, ON
6348, 25, OFF, 6377, 17, OFF
5289, 16, ON, 5425, 17, ON
6260, 7, OFF, 6415, 17, OFF
5029, 17, ON, 5581, 17, ON
6367, 16, OFF, 6626, 17, OFF
5510, 16, ON, 5424, 17, ON
6223, 25, OFF, 6431, 17, OFF
5289, 18, ON, 5495, 18, ON
5652, 18, OFF, 6519, 18, OFF
5150, 18, ON, 5468, 18, ON
5783, 18, OFF, 6377, 18, OFF
5244, 18, ON, 5474, 18, ON
5705, 18, OFF, 6431, 18, OFF
5342, 18, ON, 5665, 18, ON
5893, 18, OFF, 6663, 18, OFF
4835, 18, ON, 5609, 19, ON
6809, 19, OFF, 6545, 19, OFF
4414, 23, ON, 5628, 19, ON
6693, 19, OFF, 6531, 19, OFF
4653, 23, ON, 5517, 19, ON
6411, 19, OFF, 6527, 19, OFF
5125, 17, ON, 5664, 19, ON
6733, 19, OFF, 6740, 19, OFF
4122, 5, ON, 5602, 2, ON
6191, 2, OFF, 6600, 2, OFF
5143, 2, ON, 5416, 2, ON
6130, 2, OFF, 6395, 2, OFF
4909, 2, ON, 5513, 2, ON
6165, 2, OFF, 6466, 2, OFF
5410, 2, ON, 5490, 2, ON
6236, 2, OFF, 6440, 2, OFF
5470, 9, ON, 5446, 20, ON
6147, 0, OFF, 6399, 20, OFF
5125, 22, ON, 5517, 20, ON
6203, 12, OFF, 6409, 20, OFF
5361, 22, ON, 5490, 20, ON
6311, 0, OFF, 6473, 20, OFF
5434, 0, ON, 5417, 20, ON
6085, 0, OFF, 6280, 20, OFF
5355, 18, ON, 5528, 21, ON
6368, 21, OFF, 6550, 21, OFF
5483, 16, ON, 5404, 21, ON
6142, 16, OFF, 6376, 21, OFF
5338, 17, ON, 5459, 21, ON
6263, 21, OFF, 6426, 21, OFF
5498, 16, ON, 5433, 21, ON
6360, 21, OFF, 6659, 21, OFF
5135, 22, ON, 5400, 22, ON
5842, 22, OFF, 6353, 22, OFF
5115, 22, ON, 5401, 22, ON
5840, 22, OFF, 6290, 22, OFF
4409, 22, ON, 5519, 22, ON
6391, 22, OFF, 6511, 22, OFF
5222, 22, ON, 5445, 22, ON
6146, 22, OFF, 6334, 22, OFF
4988, 23, ON, 5564, 23, ON
6052, 0, OFF, 6451, 23, OFF
5300, 23, ON, 5453, 23, ON
5803, 0, OFF, 6361, 23, OFF
5951, 23, ON, 5524, 23, ON
6162, 24, OFF, 6409, 23, OFF
5276, 23, ON, 5546, 23, ON
6364, 24, OFF, 6553, 23, OFF
5479, 24, ON, 5441, 24, ON
6087, 24, OFF, 6384, 24, OFF
5412, 24, ON, 5631, 24, ON
6160, 24, OFF, 6601, 24, OFF
5490, 24, ON, 5474, 24, ON
6171, 24, OFF, 6504, 24, OFF
5384, 24, ON, 5552, 24, ON
5579, 24, OFF, 7026, 24, OFF
5332, 0, ON, 5521, 25, ON
6409, 25, OFF, 6433, 25, OFF
5485, 0, ON, 5479, 25, ON
6503, 25, OFF, 6539, 25, OFF
4836, 25, ON, 5398, 25, ON
6351, 25, OFF, 6347, 25, OFF
4929, 25, ON, 5479, 25, ON
6135, 25, OFF, 6452, 25, OFF
5191, 3, ON, 5412, 3, ON
5787, 3, OFF, 6334, 3, OFF
5148, 12, ON, 5536, 3, ON
5983, 3, OFF, 6800, 3, OFF
5116, 3, ON, 5403, 3, ON
5633, 3, OFF, 6246, 3, OFF
5387, 5, ON, 5625, 3, ON
6129, 3, OFF, 6550, 3, OFF
5155, 4, ON, 5382, 4, ON
5954, 0, OFF, 6358, 4, OFF
5230, 4, ON, 5475, 4, ON
6110, 0, OFF, 6516, 4, OFF
5226, 4, ON, 5427, 4, ON
6084, 0, OFF, 6478, 4, OFF
5237, 4, ON, 5489, 4, ON
6263, 0, OFF, 6562, 4, OFF
5067, 5, ON, 5553, 5, ON
6054, 5, OFF, 6583, 5, OFF
5455, 16, ON, 5422, 5, ON
6059, 5, OFF, 6452, 5, OFF
5402, 5, ON, 5539, 5, ON
6104, 5, OFF, 6581, 5, OFF
5760, 5, ON, 5658, 5, ON
6100, 5, OFF, 6683, 5, OFF
5637, 18, ON, 5601, 6, ON
5750, 12, OFF, 6475, 6, OFF
5314, 12, ON, 5529, 6, ON
5791, 0, OFF, 6502, 6, OFF
5432, 12, ON, 5486, 6, ON
5706, 0, OFF, 6305, 6, OFF
5322, 18, ON, 5508, 6, ON
6011, 12, OFF, 6702, 6, OFF
5162, 7, ON, 5376, 7, ON
5844, 7, OFF, 6311, 7, OFF
5086, 7, ON, 5484, 7, ON
5879, 7, OFF, 6411, 7, OFF
5335, 7, ON, 5555, 7, ON
6400, 7, OFF, 6744, 7, OFF
5114, 7, ON, 5452, 7, ON
5908, 7, OFF, 6433, 7, OFF
5454, 18, ON, 5566, 8, ON
6005, 0, OFF, 6544, 8, OFF
5302, 0, ON, 5498, 8, ON
