Evaluate score: [0.744806917814108, 0.5096153616905212]
y_sample, y_class, groundTruth_sample, groundTruth_class
5826, 18, 5591, 0
6168, 5, 6623, 0
5828, 18, 5580, 0
6195, 0, 6584, 0
5834, 18, 5551, 0
6206, 5, 6611, 0
5863, 18, 5603, 0
6165, 5, 7094, 0
5420, 1, 5374, 1
6355, 8, 6290, 1
5589, 1, 5562, 1
6319, 1, 6409, 1
5537, 1, 5564, 1
6244, 1, 6944, 1
5703, 1, 5616, 1
6204, 8, 6597, 1
5426, 10, 5383, 10
6611, 10, 6320, 10
5523, 10, 5463, 10
6588, 10, 6430, 10
5607, 10, 5627, 10
6716, 10, 6569, 10
5613, 10, 5514, 10
6531, 10, 7009, 10
5577, 11, 5488, 11
6595, 11, 6529, 11
5599, 11, 5483, 11
6692, 11, 6461, 11
5644, 11, 5508, 11
6647, 11, 6512, 11
5579, 11, 5456, 11
6617, 11, 6451, 11
5411, 0, 5538, 12
6468, 4, 6556, 12
5348, 21, 5513, 12
6443, 0, 6481, 12
5753, 0, 5529, 12
6435, 0, 6514, 12
5652, 2, 5569, 12
6226, 4, 6734, 12
5634, 15, 5512, 13
6559, 0, 6442, 13
4767, 19, 5630, 13
6528, 0, 6570, 13
5197, 20, 5399, 13
6516, 11, 6858, 13
5642, 0, 5535, 13
6553, 10, 6939, 13
5912, 14, 5539, 14
6039, 14, 6516, 14
5935, 14, 5572, 14
6526, 14, 6379, 14
6060, 14, 5412, 14
6359, 14, 6615, 14
5797, 14, 5534, 14
6205, 14, 6595, 14
4894, 0, 5602, 15
6604, 15, 6583, 15
5528, 15, 5444, 15
6547, 15, 6511, 15
6262, 25, 5551, 15
6427, 15, 6573, 15
5503, 15, 5457, 15
6648, 15, 6942, 15
5365, 16, 5384, 16
6575, 15, 6429, 16
5313, 16, 5388, 16
6545, 0, 6369, 16
5557, 25, 5552, 16
6356, 0, 6645, 16
5743, 16, 5591, 16
6473, 17, 6708, 16
5452, 19, 5367, 17
6736, 0, 6377, 17
5535, 16, 5425, 17
6849, 17, 6415, 17
5717, 25, 5581, 17
6567, 17, 6626, 17
5566, 16, 5424, 17
6788, 25, 6431, 17
5836, 18, 5495, 18
7077, 18, 6519, 18
5787, 18, 5468, 18
6757, 18, 6377, 18
5777, 18, 5474, 18
6895, 0, 6431, 18
5854, 18, 5665, 18
6627, 18, 6663, 18
5357, 25, 5609, 19
7223, 19, 6545, 19
4751, 19, 5628, 19
7274, 19, 6531, 19
5814, 19, 5517, 19
6765, 17, 6527, 19
5619, 17, 5664, 19
6605, 17, 6740, 19
5453, 2, 5602, 2
6551, 2, 6600, 2
5428, 15, 5416, 2
6578, 2, 6395, 2
5562, 0, 5513, 2
6499, 2, 6466, 2
5204, 2, 5490, 2
6561, 2, 6440, 2
5473, 20, 5446, 20
6440, 20, 6399, 20
5562, 20, 5517, 20
6503, 20, 6409, 20
5442, 20, 5490, 20
6447, 20, 6473, 20
5345, 20, 5417, 20
6331, 20, 6280, 20
5972, 25, 5528, 21
6608, 15, 6550, 21
5539, 16, 5404, 21
6468, 14, 6376, 21
5611, 0, 5459, 21
6707, 15, 6426, 21
5447, 16, 5433, 21
6529, 0, 6659, 21
5059, 22, 5400, 22
6953, 22, 6353, 22
5435, 22, 5401, 22
6657, 22, 6290, 22
5884, 22, 5519, 22
7074, 22, 6511, 22
5072, 22, 5445, 22
6603, 22, 6334, 22
6101, 23, 5564, 23
6695, 23, 6451, 23
5849, 23, 5453, 23
6771, 23, 6361, 23
5458, 23, 5524, 23
6544, 23, 6409, 23
5781, 23, 5546, 23
6583, 24, 6553, 23
5675, 23, 5441, 24
6391, 24, 6384, 24
5595, 24, 5631, 24
6621, 24, 6601, 24
5678, 23, 5474, 24
6394, 24, 6504, 24
5616, 24, 5552, 24
5785, 24, 7026, 24
6329, 25, 5521, 25
7142, 25, 6433, 25
5602, 17, 5479, 25
7020, 17, 6539, 25
5488, 19, 5398, 25
6895, 0, 6347, 25
5687, 17, 5479, 25
7007, 25, 6452, 25
5704, 6, 5412, 3
6162, 6, 6334, 3
5838, 6, 5536, 3
6455, 8, 6800, 3
5604, 0, 5403, 3
6236, 6, 6246, 3
5574, 18, 5625, 3
6644, 8, 6550, 3
5320, 4, 5382, 4
6396, 4, 6358, 4
5378, 4, 5475, 4
6453, 4, 6516, 4
5327, 4, 5427, 4
6516, 4, 6478, 4
5469, 4, 5489, 4
6345, 10, 6562, 4
5503, 5, 5553, 5
6059, 5, 6583, 5
5737, 0, 5422, 5
6051, 5, 6452, 5
5667, 5, 5539, 5
6074, 5, 6581, 5
5668, 8, 5658, 5
6051, 5, 6683, 5
5429, 2, 5601, 6
6345, 0, 6475, 6
5672, 0, 5529, 6
6240, 6, 6502, 6
5690, 6, 5486, 6
6429, 0, 6305, 6
5738, 18, 5508, 6
6270, 6, 6702, 6
5537, 7, 5376, 7
6538, 7, 6311, 7
5623, 7, 5484, 7
6377, 7, 6411, 7
5741, 7, 5555, 7
6436, 7, 6744, 7
5603, 7, 5452, 7
6447, 7, 6433, 7
5468, 8, 5566, 8
6396, 8, 6544, 8
5606, 8, 5498, 8
6180, 6, 6352, 8
5554, 8, 5643, 8
6224, 8, 6548, 8
5770, 8, 5557, 8
6165, 8, 6508, 8
5147, 0, 5539, 9
6710, 6, 6542, 9
5353, 21, 5453, 9
6935, 0, 6348, 9
5280, 14, 5446, 9
6777, 0, 6475, 9
4833, 2, 5654, 9
6702, 20, 6642, 9
Accuracy: 36.54, Detection Accuracy: 64.42, Classification Accuracy: 58.65
