Evaluate score: [0.6979664243184603, 0.5096153616905212]
y_sample, y_class, groundTruth_sample, groundTruth_class
5867, 18, 5591, 0
6113, 5, 6623, 0
5889, 18, 5580, 0
6161, 5, 6584, 0
5907, 18, 5551, 0
6160, 5, 6611, 0
5930, 18, 5603, 0
6135, 5, 7094, 0
5732, 8, 5374, 1
6492, 8, 6290, 1
5729, 1, 5562, 1
6348, 1, 6409, 1
5662, 1, 5564, 1
6389, 8, 6944, 1
5832, 1, 5616, 1
6340, 8, 6597, 1
5563, 10, 5383, 10
6890, 10, 6320, 10
5684, 10, 5463, 10
6751, 10, 6430, 10
5819, 10, 5627, 10
6976, 10, 6569, 10
5731, 10, 5514, 10
6689, 10, 7009, 10
5722, 11, 5488, 11
6668, 11, 6529, 11
5728, 11, 5483, 11
6810, 11, 6461, 11
5737, 11, 5508, 11
6750, 11, 6512, 11
5688, 11, 5456, 11
6768, 11, 6451, 11
5760, 0, 5538, 12
6696, 4, 6556, 12
5698, 24, 5513, 12
6717, 0, 6481, 12
6019, 0, 5529, 12
6725, 0, 6514, 12
5897, 5, 5569, 12
6527, 4, 6734, 12
5687, 15, 5512, 13
6718, 0, 6442, 13
5230, 2, 5630, 13
6773, 10, 6570, 13
5396, 0, 5399, 13
6669, 11, 6858, 13
5706, 5, 5535, 13
6754, 10, 6939, 13
6700, 14, 5539, 14
6377, 14, 6516, 14
6776, 14, 5572, 14
6687, 14, 6379, 14
6708, 14, 5412, 14
6574, 14, 6615, 14
6441, 14, 5534, 14
6436, 14, 6595, 14
5988, 15, 5602, 15
6791, 15, 6583, 15
6165, 15, 5444, 15
6763, 14, 6511, 15
7228, 15, 5551, 15
6581, 15, 6573, 15
6274, 15, 5457, 15
6884, 15, 6942, 15
5549, 16, 5384, 16
6681, 15, 6429, 16
5607, 16, 5388, 16
6699, 14, 6369, 16
5846, 25, 5552, 16
6756, 0, 6645, 16
6012, 17, 5591, 16
6686, 17, 6708, 16
5962, 17, 5367, 17
7066, 0, 6377, 17
5689, 16, 5425, 17
7056, 17, 6415, 17
6085, 25, 5581, 17
6977, 0, 6626, 17
5901, 16, 5424, 17
6961, 25, 6431, 17
5912, 18, 5495, 18
7450, 0, 6519, 18
5866, 18, 5468, 18
6940, 18, 6377, 18
5861, 18, 5474, 18
7165, 0, 6431, 18
5884, 18, 5665, 18
6798, 18, 6663, 18
6438, 25, 5609, 19
7832, 19, 6545, 19
6068, 19, 5628, 19
7943, 19, 6531, 19
6340, 19, 5517, 19
7218, 17, 6527, 19
6443, 17, 5664, 19
7040, 17, 6740, 19
5614, 2, 5602, 2
6661, 2, 6600, 2
6109, 0, 5416, 2
6645, 2, 6395, 2
5970, 0, 5513, 2
6585, 2, 6466, 2
5701, 2, 5490, 2
6584, 2, 6440, 2
5978, 20, 5446, 20
7031, 20, 6399, 20
6191, 20, 5517, 20
7039, 20, 6409, 20
5858, 20, 5490, 20
6981, 20, 6473, 20
6096, 20, 5417, 20
7184, 20, 6280, 20
6158, 25, 5528, 21
6969, 15, 6550, 21
5626, 16, 5404, 21
6653, 14, 6376, 21
5780, 16, 5459, 21
6963, 15, 6426, 21
5571, 16, 5433, 21
6955, 15, 6659, 21
5957, 22, 5400, 22
7731, 22, 6353, 22
6698, 22, 5401, 22
8054, 22, 6290, 22
6647, 22, 5519, 22
8047, 22, 6511, 22
6064, 22, 5445, 22
7588, 22, 6334, 22
6683, 23, 5564, 23
6788, 23, 6451, 23
6547, 23, 5453, 23
6940, 23, 6361, 23
6206, 23, 5524, 23
6803, 23, 6409, 23
6545, 23, 5546, 23
6782, 23, 6553, 23
6079, 23, 5441, 24
6528, 24, 6384, 24
6136, 24, 5631, 24
6715, 24, 6601, 24
6056, 23, 5474, 24
6527, 24, 6504, 24
6126, 24, 5552, 24
6182, 24, 7026, 24
6879, 25, 5521, 25
7463, 25, 6433, 25
6071, 0, 5479, 25
7442, 25, 6539, 25
6106, 25, 5398, 25
7330, 0, 6347, 25
5947, 17, 5479, 25
7208, 25, 6452, 25
5927, 6, 5412, 3
6403, 6, 6334, 3
6043, 6, 5536, 3
6723, 8, 6800, 3
5849, 8, 5403, 3
6420, 6, 6246, 3
5799, 8, 5625, 3
6845, 8, 6550, 3
5547, 4, 5382, 4
6553, 4, 6358, 4
5557, 4, 5475, 4
6582, 4, 6516, 4
5519, 4, 5427, 4
6712, 4, 6478, 4
5612, 4, 5489, 4
6602, 10, 6562, 4
5842, 5, 5553, 5
6016, 5, 6583, 5
6024, 6, 5422, 5
6016, 5, 6452, 5
5942, 5, 5539, 5
6027, 5, 6581, 5
5866, 8, 5658, 5
6004, 5, 6683, 5
5607, 2, 5601, 6
6535, 8, 6475, 6
5873, 6, 5529, 6
6506, 6, 6502, 6
5982, 6, 5486, 6
6666, 8, 6305, 6
5950, 8, 5508, 6
6503, 6, 6702, 6
5640, 7, 5376, 7
6588, 7, 6311, 7
5663, 7, 5484, 7
6424, 7, 6411, 7
5778, 7, 5555, 7
6421, 7, 6744, 7
5640, 7, 5452, 7
6490, 7, 6433, 7
5657, 8, 5566, 8
6545, 8, 6544, 8
5934, 8, 5498, 8
6305, 6, 6352, 8
5735, 8, 5643, 8
6409, 8, 6548, 8
5895, 8, 5557, 8
6306, 8, 6508, 8
5625, 22, 5539, 9
6989, 6, 6542, 9
5659, 24, 5453, 9
7374, 0, 6348, 9
5758, 24, 5446, 9
7104, 0, 6475, 9
5345, 2, 5654, 9
6964, 20, 6642, 9
Accuracy: 25.48, Detection Accuracy: 39.90, Classification Accuracy: 58.65
