Evaluate score: [0.8835672231820914, 0.9086538553237915]
y_sample, y_class, y_eventType, groundTruth_sample, groundTruth_class, groundTruth_eventType
5308, 0, ON, 5591, 0, ON
6089, 0, OFF, 6623, 0, OFF
5338, 0, ON, 5580, 0, ON
6079, 0, OFF, 6584, 0, OFF
5351, 0, ON, 5551, 0, ON
6083, 0, OFF, 6611, 0, OFF
5346, 0, ON, 5603, 0, ON
6056, 0, OFF, 7094, 0, OFF
5205, 1, ON, 5374, 1, ON
5957, 8, OFF, 6290, 1, OFF
5133, 0, ON, 5562, 1, ON
6055, 1, OFF, 6409, 1, OFF
5151, 1, ON, 5564, 1, ON
6051, 1, OFF, 6944, 1, OFF
5155, 1, ON, 5616, 1, ON
6019, 8, OFF, 6597, 1, OFF
5313, 0, ON, 5383, 10, ON
6255, 10, OFF, 6320, 10, OFF
5341, 0, ON, 5463, 10, ON
6248, 10, OFF, 6430, 10, OFF
5370, 0, ON, 5627, 10, ON
6289, 10, OFF, 6569, 10, OFF
5396, 0, ON, 5514, 10, ON
6272, 10, OFF, 7009, 10, OFF
5363, 0, ON, 5488, 11, ON
6338, 10, OFF, 6529, 11, OFF
5325, 0, ON, 5483, 11, ON
6272, 0, OFF, 6461, 11, OFF
5379, 0, ON, 5508, 11, ON
6343, 0, OFF, 6512, 11, OFF
5318, 0, ON, 5456, 11, ON
6318, 0, OFF, 6451, 11, OFF
5146, 0, ON, 5538, 12, ON
6030, 0, OFF, 6556, 12, OFF
5336, 0, ON, 5513, 12, ON
5946, 0, OFF, 6481, 12, OFF
5319, 0, ON, 5529, 12, ON
6046, 0, OFF, 6514, 12, OFF
5181, 5, ON, 5569, 12, ON
5977, 0, OFF, 6734, 12, OFF
5611, 13, ON, 5512, 13, ON
6183, 15, OFF, 6442, 13, OFF
4976, 18, ON, 5630, 13, ON
6263, 15, OFF, 6570, 13, OFF
5284, 13, ON, 5399, 13, ON
6115, 15, OFF, 6858, 13, OFF
5368, 0, ON, 5535, 13, ON
6100, 15, OFF, 6939, 13, OFF
5468, 18, ON, 5539, 14, ON
6330, 10, OFF, 6516, 14, OFF
5340, 18, ON, 5572, 14, ON
6240, 0, OFF, 6379, 14, OFF
5235, 21, ON, 5412, 14, ON
6279, 10, OFF, 6615, 14, OFF
5429, 22, ON, 5534, 14, ON
6238, 7, OFF, 6595, 14, OFF
4931, 0, ON, 5602, 15, ON
6233, 15, OFF, 6583, 15, OFF
4990, 0, ON, 5444, 15, ON
6388, 15, OFF, 6511, 15, OFF
5486, 0, ON, 5551, 15, ON
6072, 15, OFF, 6573, 15, OFF
5199, 18, ON, 5457, 15, ON
6144, 15, OFF, 6942, 15, OFF
5240, 21, ON, 5384, 16, ON
6245, 16, OFF, 6429, 16, OFF
5184, 21, ON, 5388, 16, ON
6280, 16, OFF, 6369, 16, OFF
5435, 0, ON, 5552, 16, ON
6296, 16, OFF, 6645, 16, OFF
5388, 8, ON, 5591, 16, ON
6175, 0, OFF, 6708, 16, OFF
5125, 19, ON, 5367, 17, ON
6118, 19, OFF, 6377, 17, OFF
5058, 25, ON, 5425, 17, ON
6175, 0, OFF, 6415, 17, OFF
5343, 0, ON, 5581, 17, ON
6190, 25, OFF, 6626, 17, OFF
5397, 16, ON, 5424, 17, ON
6237, 16, OFF, 6431, 17, OFF
5384, 0, ON, 5495, 18, ON
6227, 19, OFF, 6519, 18, OFF
5367, 0, ON, 5468, 18, ON
6340, 0, OFF, 6377, 18, OFF
5367, 0, ON, 5474, 18, ON
6225, 0, OFF, 6431, 18, OFF
5312, 18, ON, 5665, 18, ON
6264, 0, OFF, 6663, 18, OFF
4858, 0, ON, 5609, 19, ON
6333, 19, OFF, 6545, 19, OFF
4517, 18, ON, 5628, 19, ON
6467, 19, OFF, 6531, 19, OFF
5523, 19, ON, 5517, 19, ON
6273, 19, OFF, 6527, 19, OFF
5488, 16, ON, 5664, 19, ON
6324, 17, OFF, 6740, 19, OFF
4531, 5, ON, 5602, 2, ON
6082, 0, OFF, 6600, 2, OFF
5154, 0, ON, 5416, 2, ON
6000, 0, OFF, 6395, 2, OFF
5463, 0, ON, 5513, 2, ON
6036, 0, OFF, 6466, 2, OFF
5028, 18, ON, 5490, 2, ON
6069, 0, OFF, 6440, 2, OFF
5287, 22, ON, 5446, 20, ON
6136, 20, OFF, 6399, 20, OFF
5291, 0, ON, 5517, 20, ON
6151, 20, OFF, 6409, 20, OFF
5258, 0, ON, 5490, 20, ON
6361, 20, OFF, 6473, 20, OFF
5303, 16, ON, 5417, 20, ON
6181, 20, OFF, 6280, 20, OFF
5527, 0, ON, 5528, 21, ON
6137, 0, OFF, 6550, 21, OFF
5445, 16, ON, 5404, 21, ON
6215, 16, OFF, 6376, 21, OFF
5223, 0, ON, 5459, 21, ON
6216, 16, OFF, 6426, 21, OFF
5555, 16, ON, 5433, 21, ON
6121, 0, OFF, 6659, 21, OFF
5159, 19, ON, 5400, 22, ON
6060, 0, OFF, 6353, 22, OFF
5022, 22, ON, 5401, 22, ON
6079, 20, OFF, 6290, 22, OFF
5456, 22, ON, 5519, 22, ON
6217, 20, OFF, 6511, 22, OFF
5163, 0, ON, 5445, 22, ON
6111, 20, OFF, 6334, 22, OFF
5406, 0, ON, 5564, 23, ON
5912, 0, OFF, 6451, 23, OFF
5277, 25, ON, 5453, 23, ON
6309, 0, OFF, 6361, 23, OFF
5289, 0, ON, 5524, 23, ON
6252, 0, OFF, 6409, 23, OFF
5308, 0, ON, 5546, 23, ON
6343, 24, OFF, 6553, 23, OFF
5323, 0, ON, 5441, 24, ON
6030, 24, OFF, 6384, 24, OFF
5306, 21, ON, 5631, 24, ON
6265, 24, OFF, 6601, 24, OFF
5327, 0, ON, 5474, 24, ON
5972, 24, OFF, 6504, 24, OFF
5389, 22, ON, 5552, 24, ON
6145, 24, OFF, 7026, 24, OFF
5449, 25, ON, 5521, 25, ON
6169, 25, OFF, 6433, 25, OFF
5406, 19, ON, 5479, 25, ON
6063, 25, OFF, 6539, 25, OFF
5153, 25, ON, 5398, 25, ON
6410, 16, OFF, 6347, 25, OFF
5318, 16, ON, 5479, 25, ON
6247, 25, OFF, 6452, 25, OFF
5326, 3, ON, 5412, 3, ON
6046, 3, OFF, 6334, 3, OFF
5282, 0, ON, 5536, 3, ON
6169, 20, OFF, 6800, 3, OFF
5217, 3, ON, 5403, 3, ON
6038, 0, OFF, 6246, 3, OFF
5176, 5, ON, 5625, 3, ON
6232, 3, OFF, 6550, 3, OFF
5161, 18, ON, 5382, 4, ON
6114, 0, OFF, 6358, 4, OFF
5362, 0, ON, 5475, 4, ON
6173, 0, OFF, 6516, 4, OFF
5186, 18, ON, 5427, 4, ON
6163, 0, OFF, 6478, 4, OFF
5295, 0, ON, 5489, 4, ON
6161, 0, OFF, 6562, 4, OFF
5076, 5, ON, 5553, 5, ON
6042, 5, OFF, 6583, 5, OFF
