Evaluate score: [1.0235860347747803, 0.8653846383094788]
y_sample, y_class, y_eventType, groundTruth_sample, groundTruth_class, groundTruth_eventType
5659, 0, ON, 5591, 0, ON
6515, 0, OFF, 6623, 0, OFF
5695, 0, ON, 5580, 0, ON
6510, 0, OFF, 6584, 0, OFF
5687, 0, ON, 5551, 0, ON
6492, 0, OFF, 6611, 0, OFF
5716, 0, ON, 5603, 0, ON
6460, 0, OFF, 7094, 0, OFF
5647, 1, ON, 5374, 1, ON
6273, 8, OFF, 6290, 1, OFF
5576, 0, ON, 5562, 1, ON
6396, 1, OFF, 6409, 1, OFF
5601, 0, ON, 5564, 1, ON
6407, 1, OFF, 6944, 1, OFF
5547, 18, ON, 5616, 1, ON
6386, 0, OFF, 6597, 1, OFF
5481, 0, ON, 5383, 10, ON
6586, 10, OFF, 6320, 10, OFF
5539, 0, ON, 5463, 10, ON
6603, 10, OFF, 6430, 10, OFF
5544, 0, ON, 5627, 10, ON
6655, 10, OFF, 6569, 10, OFF
5599, 8, ON, 5514, 10, ON
6582, 10, OFF, 7009, 10, OFF
5583, 0, ON, 5488, 11, ON
6650, 10, OFF, 6529, 11, OFF
5538, 0, ON, 5483, 11, ON
6593, 0, OFF, 6461, 11, OFF
5591, 0, ON, 5508, 11, ON
6671, 0, OFF, 6512, 11, OFF
5524, 0, ON, 5456, 11, ON
6607, 0, OFF, 6451, 11, OFF
5731, 0, ON, 5538, 12, ON
6317, 0, OFF, 6556, 12, OFF
5748, 9, ON, 5513, 12, ON
6249, 0, OFF, 6481, 12, OFF
5693, 0, ON, 5529, 12, ON
6332, 0, OFF, 6514, 12, OFF
5556, 5, ON, 5569, 12, ON
6268, 0, OFF, 6734, 12, OFF
5806, 13, ON, 5512, 13, ON
6426, 15, OFF, 6442, 13, OFF
5140, 18, ON, 5630, 13, ON
6562, 15, OFF, 6570, 13, OFF
5407, 13, ON, 5399, 13, ON
6410, 15, OFF, 6858, 13, OFF
5597, 9, ON, 5535, 13, ON
6372, 15, OFF, 6939, 13, OFF
5770, 18, ON, 5539, 14, ON
6592, 10, OFF, 6516, 14, OFF
5639, 18, ON, 5572, 14, ON
6590, 1, OFF, 6379, 14, OFF
5359, 21, ON, 5412, 14, ON
6656, 10, OFF, 6615, 14, OFF
5549, 21, ON, 5534, 14, ON
6613, 10, OFF, 6595, 14, OFF
5138, 18, ON, 5602, 15, ON
6475, 15, OFF, 6583, 15, OFF
5422, 0, ON, 5444, 15, ON
6597, 15, OFF, 6511, 15, OFF
5770, 0, ON, 5551, 15, ON
6298, 15, OFF, 6573, 15, OFF
5533, 18, ON, 5457, 15, ON
6388, 15, OFF, 6942, 15, OFF
5321, 21, ON, 5384, 16, ON
6350, 16, OFF, 6429, 16, OFF
5268, 21, ON, 5388, 16, ON
6376, 16, OFF, 6369, 16, OFF
5687, 0, ON, 5552, 16, ON
6367, 16, OFF, 6645, 16, OFF
5520, 8, ON, 5591, 16, ON
6296, 0, OFF, 6708, 16, OFF
5254, 19, ON, 5367, 17, ON
6263, 19, OFF, 6377, 17, OFF
5188, 25, ON, 5425, 17, ON
6329, 0, OFF, 6415, 17, OFF
5503, 0, ON, 5581, 17, ON
6374, 25, OFF, 6626, 17, OFF
5483, 16, ON, 5424, 17, ON
6344, 16, OFF, 6431, 17, OFF
5710, 0, ON, 5495, 18, ON
6447, 0, OFF, 6519, 18, OFF
5693, 0, ON, 5468, 18, ON
6446, 0, OFF, 6377, 18, OFF
5698, 0, ON, 5474, 18, ON
6376, 0, OFF, 6431, 18, OFF
5667, 18, ON, 5665, 18, ON
6522, 25, OFF, 6663, 18, OFF
5066, 18, ON, 5609, 19, ON
6505, 19, OFF, 6545, 19, OFF
4703, 18, ON, 5628, 19, ON
6641, 19, OFF, 6531, 19, OFF
5903, 19, ON, 5517, 19, ON
6528, 19, OFF, 6527, 19, OFF
5506, 18, ON, 5664, 19, ON
6460, 17, OFF, 6740, 19, OFF
