Evaluate score: [2.0598108034867506, 0.0007242267020046711, 1.779134436219465e-05, 2.188318967819214, 0.0, 1.0, 0.7115384340286255]
y_sample, y_class, y_eventType, groundTruth_sample, groundTruth_class, groundTruth_eventType
5666, 0, ON, 5591, 0, ON
6057, 0, OFF, 6623, 0, OFF
5746, 0, ON, 5580, 0, ON
6099, 0, OFF, 6584, 0, OFF
5776, 0, ON, 5551, 0, ON
6103, 0, OFF, 6611, 0, OFF
5815, 0, ON, 5603, 0, ON
6067, 0, OFF, 7094, 0, OFF
5606, 1, ON, 5374, 1, ON
6203, 8, OFF, 6290, 1, OFF
5429, 1, ON, 5562, 1, ON
6197, 1, OFF, 6409, 1, OFF
5491, 1, ON, 5564, 1, ON
6039, 1, OFF, 6944, 1, OFF
5609, 1, ON, 5616, 1, ON
6208, 8, OFF, 6597, 1, OFF
5448, 10, ON, 5383, 10, ON
6312, 10, OFF, 6320, 10, OFF
5559, 10, ON, 5463, 10, ON
6333, 10, OFF, 6430, 10, OFF
5480, 10, ON, 5627, 10, ON
6339, 10, OFF, 6569, 10, OFF
5625, 10, ON, 5514, 10, ON
6313, 11, OFF, 7009, 10, OFF
5563, 11, ON, 5488, 11, ON
6370, 11, OFF, 6529, 11, OFF
5543, 11, ON, 5483, 11, ON
6322, 11, OFF, 6461, 11, OFF
5571, 11, ON, 5508, 11, ON
6387, 11, OFF, 6512, 11, OFF
5396, 11, ON, 5456, 11, ON
6433, 10, OFF, 6451, 11, OFF
5540, 12, ON, 5538, 12, ON
6316, 12, OFF, 6556, 12, OFF
5216, 12, ON, 5513, 12, ON
6229, 12, OFF, 6481, 12, OFF
5775, 12, ON, 5529, 12, ON
6409, 12, OFF, 6514, 12, OFF
5711, 18, ON, 5569, 12, ON
6186, 12, OFF, 6734, 12, OFF
5756, 13, ON, 5512, 13, ON
6358, 13, OFF, 6442, 13, OFF
4948, 13, ON, 5630, 13, ON
6287, 13, OFF, 6570, 13, OFF
