Evaluate score: [2.3034328313974233, 0.0034983910154551268, 4.389159585116431e-05, 2.447553873062134, 0.0, 1.0, 0.6778846383094788]
y_sample, y_class, y_eventType, groundTruth_sample, groundTruth_class, groundTruth_eventType
5664, 0, ON, 5591, 0, ON
6214, 0, OFF, 6623, 0, OFF
5666, 0, ON, 5580, 0, ON
6358, 0, OFF, 6584, 0, OFF
5620, 0, ON, 5551, 0, ON
6472, 0, OFF, 6611, 0, OFF
5823, 0, ON, 5603, 0, ON
6186, 0, OFF, 7094, 0, OFF
5389, 1, ON, 5374, 1, ON
6248, 8, OFF, 6290, 1, OFF
5496, 1, ON, 5562, 1, ON
6228, 1, OFF, 6409, 1, OFF
5467, 1, ON, 5564, 1, ON
6388, 8, OFF, 6944, 1, OFF
5538, 1, ON, 5616, 1, ON
6494, 8, OFF, 6597, 1, OFF
5297, 10, ON, 5383, 10, ON
6326, 10, OFF, 6320, 10, OFF
5596, 10, ON, 5463, 10, ON
6428, 10, OFF, 6430, 10, OFF
5528, 10, ON, 5627, 10, ON
6393, 10, OFF, 6569, 10, OFF
5334, 10, ON, 5514, 10, ON
6208, 11, OFF, 7009, 10, OFF
5258, 11, ON, 5488, 11, ON
6424, 11, OFF, 6529, 11, OFF
5514, 11, ON, 5483, 11, ON
6636, 11, OFF, 6461, 11, OFF
5413, 11, ON, 5508, 11, ON
6385, 11, OFF, 6512, 11, OFF
5458, 11, ON, 5456, 11, ON
6313, 10, OFF, 6451, 11, OFF
5641, 12, ON, 5538, 12, ON
6400, 12, OFF, 6556, 12, OFF
5974, 12, ON, 5513, 12, ON
6494, 12, OFF, 6481, 12, OFF
6258, 12, ON, 5529, 12, ON
6352, 12, OFF, 6514, 12, OFF
5498, 18, ON, 5569, 12, ON
6104, 4, OFF, 6734, 12, OFF
6715, 13, ON, 5512, 13, ON
6443, 13, OFF, 6442, 13, OFF
5064, 10, ON, 5630, 13, ON
6277, 13, OFF, 6570, 13, OFF
5532, 13, ON, 5399, 13, ON
6347, 13, OFF, 6858, 13, OFF
5096, 10, ON, 5535, 13, ON
6315, 13, OFF, 6939, 13, OFF
5282, 14, ON, 5539, 14, ON
5913, 14, OFF, 6516, 14, OFF
6247, 14, ON, 5572, 14, ON
6516, 14, OFF, 6379, 14, OFF
6305, 14, ON, 5412, 14, ON
7052, 14, OFF, 6615, 14, OFF
5284, 14, ON, 5534, 14, ON
7108, 14, OFF, 6595, 14, OFF
2920, 15, ON, 5602, 15, ON
6288, 15, OFF, 6583, 15, OFF
7376, 15, ON, 5444, 15, ON
6272, 13, OFF, 6511, 15, OFF
4184, 15, ON, 5551, 15, ON
6437, 10, OFF, 6573, 15, OFF
4804, 15, ON, 5457, 15, ON
6220, 15, OFF, 6942, 15, OFF
5207, 16, ON, 5384, 16, ON
6293, 16, OFF, 6429, 16, OFF
4146, 16, ON, 5388, 16, ON
6281, 16, OFF, 6369, 16, OFF
5103, 17, ON, 5552, 16, ON
5872, 16, OFF, 6645, 16, OFF
5404, 17, ON, 5591, 16, ON
6034, 16, OFF, 6708, 16, OFF
4005, 25, ON, 5367, 17, ON
6666, 19, OFF, 6377, 17, OFF
5188, 16, ON, 5425, 17, ON
6367, 17, OFF, 6415, 17, OFF
5827, 17, ON, 5581, 17, ON
5889, 19, OFF, 6626, 17, OFF
4541, 16, ON, 5424, 17, ON
6251, 16, OFF, 6431, 17, OFF
5570, 0, ON, 5495, 18, ON
7324, 18, OFF, 6519, 18, OFF
5581, 0, ON, 5468, 18, ON
6693, 18, OFF, 6377, 18, OFF
5499, 0, ON, 5474, 18, ON
6721, 18, OFF, 6431, 18, OFF
5722, 0, ON, 5665, 18, ON
6483, 18, OFF, 6663, 18, OFF
3840, 17, ON, 5609, 19, ON
6432, 17, OFF, 6545, 19, OFF
3489, 17, ON, 5628, 19, ON
6904, 17, OFF, 6531, 19, OFF
5350, 19, ON, 5517, 19, ON
5949, 19, OFF, 6527, 19, OFF
4381, 17, ON, 5664, 19, ON
6082, 17, OFF, 6740, 19, OFF
4898, 2, ON, 5602, 2, ON
6323, 2, OFF, 6600, 2, OFF
5789, 2, ON, 5416, 2, ON
6213, 2, OFF, 6395, 2, OFF
9385, 2, ON, 5513, 2, ON
6456, 2, OFF, 6466, 2, OFF
5390, 2, ON, 5490, 2, ON
6503, 2, OFF, 6440, 2, OFF
5715, 20, ON, 5446, 20, ON
6323, 20, OFF, 6399, 20, OFF
5802, 20, ON, 5517, 20, ON
6526, 20, OFF, 6409, 20, OFF
4346, 20, ON, 5490, 20, ON
