Evaluate score: [0.22620505932718515, 0.0004828234377782792, 8.142396978882971e-08, 0.21854957938194275, 0.0, 1.0, 0.9182692170143127]
y_sample, y_class, y_eventType, groundTruth_sample, groundTruth_class, groundTruth_eventType
5551, 0, ON, 5591, 0, ON
6084, 0, OFF, 6623, 0, OFF
5524, 18, ON, 5580, 0, ON
6067, 0, OFF, 6584, 0, OFF
5525, 18, ON, 5551, 0, ON
6108, 0, OFF, 6611, 0, OFF
5593, 18, ON, 5603, 0, ON
6067, 0, OFF, 7094, 0, OFF
4859, 1, ON, 5374, 1, ON
6314, 8, OFF, 6290, 1, OFF
4915, 1, ON, 5562, 1, ON
6329, 1, OFF, 6409, 1, OFF
4846, 1, ON, 5564, 1, ON
6281, 1, OFF, 6944, 1, OFF
5021, 1, ON, 5616, 1, ON
6303, 1, OFF, 6597, 1, OFF
5728, 10, ON, 5383, 10, ON
6382, 10, OFF, 6320, 10, OFF
5644, 10, ON, 5463, 10, ON
6318, 10, OFF, 6430, 10, OFF
5631, 10, ON, 5627, 10, ON
6304, 10, OFF, 6569, 10, OFF
5670, 10, ON, 5514, 10, ON
6356, 10, OFF, 7009, 10, OFF
5274, 11, ON, 5488, 11, ON
6390, 11, OFF, 6529, 11, OFF
5250, 11, ON, 5483, 11, ON
6298, 11, OFF, 6461, 11, OFF
5283, 11, ON, 5508, 11, ON
6443, 11, OFF, 6512, 11, OFF
5295, 11, ON, 5456, 11, ON
6456, 11, OFF, 6451, 11, OFF
5087, 12, ON, 5538, 12, ON
6159, 12, OFF, 6556, 12, OFF
5279, 12, ON, 5513, 12, ON
6128, 12, OFF, 6481, 12, OFF
5320, 12, ON, 5529, 12, ON
6134, 12, OFF, 6514, 12, OFF
5316, 12, ON, 5569, 12, ON
5977, 12, OFF, 6734, 12, OFF
6191, 13, ON, 5512, 13, ON
6236, 13, OFF, 6442, 13, OFF
6702, 13, ON, 5630, 13, ON
6126, 13, OFF, 6570, 13, OFF
6056, 13, ON, 5399, 13, ON
6103, 13, OFF, 6858, 13, OFF
6298, 13, ON, 5535, 13, ON
6241, 13, OFF, 6939, 13, OFF
5169, 14, ON, 5539, 14, ON
6552, 14, OFF, 6516, 14, OFF
4928, 14, ON, 5572, 14, ON
6545, 14, OFF, 6379, 14, OFF
4871, 14, ON, 5412, 14, ON
6765, 14, OFF, 6615, 14, OFF
5086, 14, ON, 5534, 14, ON
6657, 14, OFF, 6595, 14, OFF
4479, 15, ON, 5602, 15, ON
6162, 15, OFF, 6583, 15, OFF
4237, 15, ON, 5444, 15, ON
6168, 15, OFF, 6511, 15, OFF
4357, 15, ON, 5551, 15, ON
6023, 15, OFF, 6573, 15, OFF
4681, 15, ON, 5457, 15, ON
6271, 15, OFF, 6942, 15, OFF
5996, 16, ON, 5384, 16, ON
6557, 16, OFF, 6429, 16, OFF
5710, 16, ON, 5388, 16, ON
6359, 16, OFF, 6369, 16, OFF
5395, 16, ON, 5552, 16, ON
6308, 16, OFF, 6645, 16, OFF
5483, 16, ON, 5591, 16, ON
6387, 16, OFF, 6708, 16, OFF
5067, 17, ON, 5367, 17, ON
6634, 17, OFF, 6377, 17, OFF
5546, 17, ON, 5425, 17, ON
6748, 17, OFF, 6415, 17, OFF
5086, 17, ON, 5581, 17, ON
6706, 17, OFF, 6626, 17, OFF
5400, 17, ON, 5424, 17, ON
6923, 17, OFF, 6431, 17, OFF
5703, 18, ON, 5495, 18, ON
6538, 18, OFF, 6519, 18, OFF
5698, 18, ON, 5468, 18, ON
5927, 18, OFF, 6377, 18, OFF
5673, 0, ON, 5474, 18, ON
6990, 18, OFF, 6431, 18, OFF
5534, 18, ON, 5665, 18, ON
7092, 18, OFF, 6663, 18, OFF
4594, 17, ON, 5609, 19, ON
6719, 19, OFF, 6545, 19, OFF
4297, 17, ON, 5628, 19, ON
6795, 19, OFF, 6531, 19, OFF
4418, 17, ON, 5517, 19, ON
6685, 25, OFF, 6527, 19, OFF
4097, 17, ON, 5664, 19, ON
6756, 25, OFF, 6740, 19, OFF
6133, 2, ON, 5602, 2, ON
6213, 2, OFF, 6600, 2, OFF
5816, 2, ON, 5416, 2, ON
6277, 2, OFF, 6395, 2, OFF
7104, 2, ON, 5513, 2, ON
6351, 2, OFF, 6466, 2, OFF
6672, 2, ON, 5490, 2, ON
6332, 2, OFF, 6440, 2, OFF
5471, 20, ON, 5446, 20, ON
5797, 20, OFF, 6399, 20, OFF
5248, 20, ON, 5517, 20, ON
5835, 20, OFF, 6409, 20, OFF
4965, 20, ON, 5490, 20, ON
5869, 20, OFF, 6473, 20, OFF
5261, 20, ON, 5417, 20, ON
5962, 20, OFF, 6280, 20, OFF
5691, 16, ON, 5528, 21, ON
6504, 21, OFF, 6550, 21, OFF
5726, 16, ON, 5404, 21, ON
6510, 16, OFF, 6376, 21, OFF
5718, 21, ON, 5459, 21, ON
6716, 21, OFF, 6426, 21, OFF
5700, 21, ON, 5433, 21, ON
6170, 21, OFF, 6659, 21, OFF
4262, 22, ON, 5400, 22, ON
6099, 22, OFF, 6353, 22, OFF
4682, 22, ON, 5401, 22, ON
5890, 22, OFF, 6290, 22, OFF
4464, 22, ON, 5519, 22, ON
6401, 22, OFF, 6511, 22, OFF
3679, 22, ON, 5445, 22, ON
5666, 22, OFF, 6334, 22, OFF
5475, 23, ON, 5564, 23, ON
6306, 23, OFF, 6451, 23, OFF
5273, 23, ON, 5453, 23, ON
5936, 23, OFF, 6361, 23, OFF
5499, 23, ON, 5524, 23, ON
6134, 23, OFF, 6409, 23, OFF
5442, 23, ON, 5546, 23, ON
7060, 23, OFF, 6553, 23, OFF
5990, 24, ON, 5441, 24, ON
6459, 24, OFF, 6384, 24, OFF
6053, 24, ON, 5631, 24, ON
6534, 24, OFF, 6601, 24, OFF
5924, 24, ON, 5474, 24, ON
6265, 24, OFF, 6504, 24, OFF
6121, 24, ON, 5552, 24, ON
6241, 24, OFF, 7026, 24, OFF
5224, 25, ON, 5521, 25, ON
6219, 25, OFF, 6433, 25, OFF
5115, 25, ON, 5479, 25, ON
6418, 25, OFF, 6539, 25, OFF
4171, 25, ON, 5398, 25, ON
5521, 25, OFF, 6347, 25, OFF
4196, 25, ON, 5479, 25, ON
6381, 25, OFF, 6452, 25, OFF
4719, 3, ON, 5412, 3, ON
6345, 6, OFF, 6334, 3, OFF
4769, 3, ON, 5536, 3, ON
6188, 6, OFF, 6800, 3, OFF
4675, 3, ON, 5403, 3, ON
6348, 3, OFF, 6246, 3, OFF
4858, 3, ON, 5625, 3, ON
6196, 3, OFF, 6550, 3, OFF
5336, 4, ON, 5382, 4, ON
6147, 4, OFF, 6358, 4, OFF
5263, 4, ON, 5475, 4, ON
6090, 4, OFF, 6516, 4, OFF
5211, 4, ON, 5427, 4, ON
6086, 4, OFF, 6478, 4, OFF
5359, 4, ON, 5489, 4, ON
6078, 4, OFF, 6562, 4, OFF
5000, 5, ON, 5553, 5, ON
5991, 5, OFF, 6583, 5, OFF
4828, 5, ON, 5422, 5, ON
6012, 5, OFF, 6452, 5, OFF
5697, 5, ON, 5539, 5, ON
6064, 5, OFF, 6581, 5, OFF
5810, 5, ON, 5658, 5, ON
6063, 5, OFF, 6683, 5, OFF
5535, 6, ON, 5601, 6, ON
6028, 6, OFF, 6475, 6, OFF
5639, 6, ON, 5529, 6, ON
5986, 6, OFF, 6502, 6, OFF
5769, 6, ON, 5486, 6, ON
6107, 6, OFF, 6305, 6, OFF
5646, 6, ON, 5508, 6, ON
5934, 6, OFF, 6702, 6, OFF
5326, 7, ON, 5376, 7, ON
5953, 7, OFF, 6311, 7, OFF
5374, 7, ON, 5484, 7, ON
5904, 7, OFF, 6411, 7, OFF
5376, 7, ON, 5555, 7, ON
5927, 7, OFF, 6744, 7, OFF
5365, 7, ON, 5452, 7, ON
5902, 7, OFF, 6433, 7, OFF
5373, 8, ON, 5566, 8, ON
5907, 8, OFF, 6544, 8, OFF
5330, 8, ON, 5498, 8, ON
5946, 8, OFF, 6352, 8, OFF
5134, 8, ON, 5643, 8, ON
5907, 1, OFF, 6548, 8, OFF
5219, 8, ON, 5557, 8, ON
5944, 8, OFF, 6508, 8, OFF
4988, 9, ON, 5539, 9, ON
5842, 9, OFF, 6542, 9, OFF
3884, 9, ON, 5453, 9, ON
6022, 9, OFF, 6348, 9, OFF
4029, 9, ON, 5446, 9, ON
5748, 9, OFF, 6475, 9, OFF
5308, 9, ON, 5654, 9, ON
5731, 9, OFF, 6642, 9, OFF
Accuracy: 34.62, Detection Accuracy: 39.42, Classification Accuracy: 91.83, Event Type Accuracy: 100.00
